ice1_nam.dat 
North American component of ICE1
Authors: Peltier and Andrews, GJRAS, 1976. 
89   number of elements 
20   header lines 
1    lines for each element 
18   time since the LGM (kyrs)
1    lenght of each time step 
5    size of the 'rectangular' elements (deg)
---------------
For each ice element, the data are presented in one line, with the following meaning: 
colatitude and longitude of the centroid of the ('rectangular') elements (deg), and 
disc element thickness (m) at various times (as integers). The first value is 
thickness before the beginning of deglaciation (i.e. from -infinity to 18 kyrs BP), 
the 18 elements that follow are ice thickness at 1 kyrs intervals up to present time. 
File SH1.F of SELEN reads this file and indicates with h_0 ice thickness 
before melting begins, h_1 between 18 and 17 kyrs BP, ..., and with h_18 ice thickness 
between 1 and 0 kyrs BP. With h_19=h_18 SELEN denotes the ice (constant) thickness in 
the future. GS July 28 2007.  
---------------  
 30 285 2600 2050 2050 2050 2050 2100 2100 1400 1400 600 600 0 0 0 0 0 0 0 0
 30 290 1800 1500 1500 1500 1500 1600 1600 1300 1300 600 600 0 0 0 0 0 0 0 0
 30 295 500 800 800 800 800 600 600 700 700 300 300 0 0 0 0 0 0 0 0
 35 230 1500 1400 1400 1400 1400 1000 1000 500 500 0 0 0 0 0 0 0 0 0 0
 35 235 1500 1400 1400 1400 1400 1000 1000 0 0 0 0 0 0 0 0 0 0 0 0
 35 240 1000 1000 1000 1000 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 35 245 1600 1000 1000 1000 1000 200 200 0 0 0 0 0 0 0 0 0 0 0 0
 35 250 2000 1800 1800 1800 1800 1000 1000 0 0 0 0 0 0 0 0 0 0 0 0
 35 255 2000 2200 2200 2200 2200 1100 1100 0 0 0 0 0 0 0 0 0 0 0 0
 35 260 2000 2400 2400 2400 2400 1400 1400 800 800 200 200 0 0 0 0 0 0 0 0
 35 265 2400 2800 2800 2800 2800 1900 1900 1600 1600 1200 1200 0 0 0 0 0 0 0 0
 35 270 2800 3050 3050 3050 3050 2200 2200 2000 2000 900 900 0 0 0 0 0 0 0 0
 35 275 3000 3400 3400 3400 3400 2800 2800 2100 2100 700 700 0 0 0 0 0 0 0 0
 35 280 3500 3400 3400 3400 3400 3250 3250 2100 2100 600 600 0 0 0 0 0 0 0 0
 35 285 3000 3100 3100 3100 3100 3000 3000 2800 2800 800 800 0 0 0 0 0 0 0 0
 35 290 2000 2200 2200 2200 2200 2500 2500 3000 3000 2000 2000 500 500 500 500 500 500 500 500
 35 295 1400 1400 1400 1400 1400 1750 1750 1600 1600 140 140 0 0 0 0 0 0 0 0
 35 300 600 600 600 600 600 600 600 0 0 0 0 0 0 0 0 0 0 0 0
 40 235 1500 1300 1300 1300 1300 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 40 240 1500 1000 1000 1000 1000 1000 1000 0 0 0 0 0 0 0 0 0 0 0 0
 40 245 1000 800 800 800 800 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 40 250 800 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 40 255 900 300 300 300 300 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 40 260 1400 1200 1200 1200 1200 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 40 265 1800 1900 1900 1900 1900 0 0 0 0 0 0 0 0 0 0 0 0 0 0
