 -----------------------------------------------------------------
 PMTF.dat 2021.04.14 11.33.08
 Model: MODELS/PREM_LT90_NV4_VM2a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4550257791899426      A_e (elastic)
  0.15923305043259187      A_s (secular)
           8   3.5938628919152840E-003  -3.0216339430414547     
           9  -9.4247055882814955E-125  -3.1439674231578945     
          10   1.4027190053767949E-002  -5.5880576689530681     
          11   2.7166339078711229E-003  -5.7495359808703341     
          12   3.9353202626948470E-127  -5.8095174780000001     
          13   7.7760623051206590E-003  -8.2203250572257272     
          14   1.6018226378583744E-002  -8.5956687895884993     
          15  -1.1144423851677570E-126  -8.7477667199999978     
 
 U^^ terms:
           1   2.5317204118056142E-006  -5.4808769843227003E-005 i, U_i^^, s_i (i=1,...,M)
           2   1.4923435347690984E-004  -7.0391484605500040E-004
           3   1.3119098173309950E-003  -4.2801571952871733E-003
           4   1.7492393532117401E-002  -8.6826110642957366E-002
           5  0.19278074438152265      -0.25843839205528601     
           6  0.53298819460397373       -1.0397217091922344     
           7  -1.2465085120812399E-130  -2.4092793163636359     
           8   2.3409057303063197E-003  -2.8370212537763644     
           9   1.2457565347300021E-002  -3.0312314332782369     
          10   5.1211196525044974E-128  -3.1439674231578945     
          11   6.5636828036961126E-003  -5.6030141601653130     
          12   1.2332085295698590E-002  -5.7589297695319974     
          13   2.0033294748654869E-127  -5.8095174780000001     
          14  -4.1889402654690097E-004  -8.2262314487003252     
          15   3.6903351435114674E-002  -8.6305123142081079     
          16  -3.1841389575148921E-127  -8.7477667199999996     
 
 V^ terms:
  0.12045452886797531      V_e^ (elastic, primed)
   1.6765291699988531E-003 V_s^ (secular, primed)
           1   8.4074360913139064E-004  -7.7750500281392545E-005 i, V_i^, a_i (i=1,...,M-1)
           2   1.7971557071261549E-003  -8.7485218772450854E-004
           3   1.4674631105021476E-002  -8.0740016289978598E-003
           4   1.0798590514109635E-002 -0.12991930871847371     
           5  -7.0790634325047022E-002 -0.50029608110169932     
           6   8.0414667343458739E-125  -2.4092793163636359     
           7  -1.0006226486151157E-003  -2.8323234688921781     
           8   7.2209499459541444E-004  -3.0216339430414547     
           9  -2.1782985834895050E-124  -3.1439674231578945     
          10  -2.0744031573274101E-003  -5.5880576689530681     
          11   7.7844177513471363E-004  -5.7495359808703341     
          12   7.0122913093353271E-126  -5.8095174780000001     
          13  -1.0323725805850722E-002  -8.2203250572257272     
          14   3.7815806011833762E-003  -8.5956687895884993     
          15  -4.7033802734714681E-126  -8.7477667199999978     
 
 V^^ terms:
           1  -4.4611646068331445E-007  -5.4808769843227003E-005 i, V_i^^, s_i (i=1,...,M)
           2  -5.4164607799735955E-005  -7.0391484605500040E-004
           3  -8.0357008153901944E-004  -4.2801571952871733E-003
           4  -3.9662465793689546E-002  -8.6826110642957366E-002
           5  0.31748136089491880      -0.25843839205528601     
           6   7.7228187263388176E-002  -1.0397217091922344     
           7  -2.2153682206616548E-130  -2.4092793163636359     
           8  -6.7431033515289081E-004  -2.8370212537763644     
           9   2.5852845499106029E-003  -3.0312314332782369     
          10   1.1836271011447926E-127  -3.1439674231578945     
          11  -1.8978699754305132E-003  -5.6030141601653130     
          12   3.4128335776598380E-003  -5.7589297695319974     
          13   3.5696831675579096E-126  -5.8095174780000001     
          14   1.1261153215126358E-003  -8.2262314487003252     
          15   8.4949447193325856E-003  -8.6305123142081079     
          16  -1.3438133281511252E-126  -8.7477667199999996     
