 PMTF-REV-MP.dat 2019.08.20 16.09.00
 
 PMTF (un-primed): 
   1.4366485431981351      A_e (elastic)
   0.0000000000000000      A_s (secular)
           1  -1.6252508569648348E-007  -1.7789063996641908E-006 i, BG_i^, a_i (i=1,...,M)
           2  -1.2086188586448401E-008  -5.9149298500969916E-006
           3  -1.2322779097805426E-007  -1.4807306793916950E-005
           4  -4.0303106040529905E-006  -3.2069839296814801E-005
           5  -6.4226484844824863E-006  -5.5991566572522906E-005
           6  -4.1811558077379221E-005  -1.9210496688159369E-004
           7  -8.6007412980594351E-004  -7.2635262032555697E-004
           8  -5.1290009867194092E-003  -2.8403254253169296E-003
           9   4.2298063565663249E-002  -1.7713624396575024E-002
          10  -1.8388839816770885E-003 -0.11129421812234960     
          11  0.40799092609784149      -0.50347874919320479     
          12  -1.8591214308731041E-036  -1.9901622160390979     
          13   1.4045795687773696E-003  -2.0254131128917363     
          14   2.5778374261127166E-003  -2.0748170200398830     
          15   1.1433600536522497E-034  -2.2353681214365015     
          16   1.4703621462254710E-003  -2.2807054088729126     
          17   2.6692556793645049E-003  -2.3445669371411388     
          18  -5.8016533316254342E-034  -2.4828310897350447     
          19   1.3518956964153454E-003  -2.5383750798915483     
          20   2.2309969819039877E-003  -2.6066295478621555     
          21   3.4631676239073887E-034  -2.7178687977381442     
          22   1.5282018401550593E-003  -2.7964762006605910     
          23   2.2298648619787820E-003  -2.8792180926375188     
          24  -2.3595456118204099E-035  -2.9851909124100753     
          25   1.3909523100394236E-003  -3.0970321850745735     
          26   1.6630149750878674E-003  -3.1760031365633123     
          27   1.3847965608362923E-037  -3.2656561555907166     
          28   2.3897589185067954E-003  -4.1687411541425261     
          29   2.2194223398674774E-004  -4.2007777551810870     
          30  -3.3417467754669452E-040  -4.2101920932045909     
          31   3.4102400306908272E-003  -4.7160457482415019     
          32   1.4038305094724245E-003  -4.8037386026329107     
          33   1.2814979695639206E-043  -4.8279812638354400     
          34   6.6313069433306037E-003  -6.2970857255763146     
          35   9.8237987416314732E-003  -6.6183137576358924     
          36   3.0004776802614547E-051  -6.7202911468100819     
 
 Doubly primed B^^ terms for G: 
           1   1.7409533613024812E-009  -1.7814295602782724E-006 i, BG_i^^, s_i (i=1,...,M)
           2   1.3127437196777293E-010  -5.9152199689024739E-006
           3   1.3249422342802140E-009  -1.4810126864994972E-005
           4   4.3398501566147518E-008  -3.2166265531255122E-005
           5   6.9429192334744285E-008  -5.6125414149396820E-005
           6   4.4413183846485051E-007  -1.9333516318835627E-004
           7   9.0710135782724905E-006  -7.5785461483750705E-004
           8   1.8012391160343876E-004  -4.2244944613913033E-003
           9   4.5666187088453294E-003  -8.1974879800606235E-002
          10   6.3859592725692388E-002 -0.22891857441358193     
          11  0.32478285303269416       -1.0766567016679756     
          12  -1.2306557262769045E-061  -1.9901622160390979     
          13   3.9923249576959826E-003  -2.0300396446770033     
          14   2.3449664967233148E-003  -2.0782642307119885     
          15   4.6383411710135664E-058  -2.2353681214365015     
          16   3.6925169582951510E-003  -2.2851619501475704     
          17   1.9883964754849222E-003  -2.3478418822332463     
          18  -6.9653986662438136E-056  -2.4828310897350447     
          19   2.9458278913449144E-003  -2.5420941737476022     
          20   1.4433592327221980E-003  -2.6092114704904694     
          21   2.9191775295803408E-055  -2.7178687977381442     
          22   2.8436082795211528E-003  -2.8002370584269602     
          23   1.2836912588991990E-003  -2.8816740411295467     
          24   1.2531282992697801E-054  -2.9851909124100753     
          25   2.1473087932457058E-003  -3.1000381342116068     
          26   8.5726355542416058E-004  -3.1777508347258423     
          27  -3.4785368206548879E-055  -3.2656561555907166     
          28   4.3471894293106256E-004  -4.1704368384585440     
          29   7.2778774172448145E-004  -4.2017289706088636     
          30  -6.2348182417002067E-053  -4.2101920932045909     
          31   1.2451335441770141E-004  -4.7178605332773982     
          32   2.3868974780309258E-003  -4.8072906355702463     
          33   3.8240688962498414E-053  -4.8279812638354400     
          34  -7.4020290369845052E-004  -6.2993010589131559     
          35   1.2296971827004484E-002  -6.6384466981778187     
          36   2.2732785425179408E-056  -6.7202911468100819     
 
 B^ terms for U: 
  0.57606328604783485      BU_e^ (elastic, primed)
   0.0000000000000000      BU_s^ (secular, primed)
           1  -2.2123795040583804E-007  -1.7789063996641908E-006 i, BU_i^, a_i (i=1,...,M)
           2  -1.4906665513048691E-008  -5.9149298500969916E-006
           3  -1.5324467411864986E-007  -1.4807306793916950E-005
           4  -4.9680385539492903E-006  -3.2069839296814801E-005
           5  -8.1426400299281830E-006  -5.5991566572522906E-005
           6  -4.9518244810271863E-005  -1.9210496688159369E-004
           7  -9.8092718636744809E-004  -7.2635262032555697E-004
           8  -5.2745988932817230E-003  -2.8403254253169296E-003
           9   4.1176435694151053E-002  -1.7713624396575024E-002
          10  -1.8456561690451847E-003 -0.11129421812234960     
          11  0.32231624349304866      -0.50347874919320479     
          12   2.2093775407968909E-038  -1.9901622160390979     
          13   1.2832424322263055E-003  -2.0254131128917363     
          14   1.9490649639266782E-003  -2.0748170200398830     
          15  -1.0352060987524116E-036  -2.2353681214365015     
          16   1.3364973855253140E-003  -2.2807054088729126     
          17   2.0143154526568530E-003  -2.3445669371411388     
          18   3.0802423419267913E-036  -2.4828310897350447     
          19   1.2203364970367536E-003  -2.5383750798915483     
          20   1.6829973542809929E-003  -2.6066295478621555     
          21  -9.8421026763302754E-038  -2.7178687977381442     
          22   1.3659823311302939E-003  -2.7964762006605910     
          23   1.6762831405396424E-003  -2.8792180926375188     
          24  -1.7749344803850468E-037  -2.9851909124100753     
          25   1.2271283265076623E-003  -3.0970321850745735     
          26   1.2431396364777616E-003  -3.1760031365633123     
          27   2.4786795927910671E-039  -3.2656561555907166     
          28   1.6458746611001625E-003  -4.1687411541425261     
          29   2.0954430469364099E-004  -4.2007777551810870     
          30  -6.4004522435335715E-045  -4.2101920932045909     
          31   2.0423779628142634E-003  -4.7160457482415019     
          32   1.2787392727043113E-003  -4.8037386026329107     
          33   6.4784852263739634E-048  -4.8279812638354400     
          34   2.6740026730149996E-003  -6.2970857255763146     
          35   8.8100803763679573E-003  -6.6183137576358924     
          36   1.3549002691723816E-054  -6.7202911468100819     
 
 Doubly primed B^^ terms for U: 
           1   6.3894416233059517E-008  -1.7814295602782724E-006 i, BU_i^^, s_i (i=1,...,M)
           2   3.2083433368735002E-009  -5.9152199689024739E-006
           3   3.3728983719129968E-008  -1.4810126864994972E-005
           4   1.0616475211130518E-006  -3.2166265531255122E-005
           5   1.9421176144471522E-006  -5.6125414149396820E-005
           6   9.0269677635337013E-006  -1.9333516318835627E-004
           7   1.5749114926335011E-004  -7.5785461483750705E-004
           8   1.1558730154600726E-003  -4.2244944613913033E-003
           9   1.0665995271288623E-002  -8.1974879800606235E-002
          10  0.18374664148539291      -0.22891857441358193     
          11  0.57302148054844659       -1.0766567016679756     
          12   1.4625096978266539E-063  -1.9901622160390979     
          13   7.5388626005588842E-003  -2.0300396446770033     
          14   3.7766705461048941E-003  -2.0782642307119885     
          15  -4.1995861697194240E-060  -2.2353681214365015     
          16   6.9298947646910464E-003  -2.2851619501475704     
          17   3.1584818578560231E-003  -2.3478418822332463     
          18   3.6981037428090481E-058  -2.4828310897350447     
          19   5.4850948742902802E-003  -2.5420941737476022     
          20   2.2697865746501510E-003  -2.6092114704904694     
          21  -8.2961173401562664E-059  -2.7178687977381442     
          22   5.2387853381611945E-003  -2.8002370584269602     
          23   1.9973621415775547E-003  -2.8816740411295467     
          24   9.4264786218910981E-057  -2.9851909124100753     
          25   3.8990601023787433E-003  -3.1000381342116068     
          26   1.3177076342393219E-003  -3.1777508347258423     
          27  -6.2263140117293257E-057  -3.2656561555907166     
          28   5.8139928005003863E-004  -4.1704368384585440     
          29   1.4038610514382397E-003  -4.2017289706088636     
          30  -1.1941556043705924E-057  -4.2101920932045909     
          31   1.3613837020728763E-004  -4.7178605332773982     
          32   4.4534476899797957E-003  -4.8072906355702463     
          33   1.9332199065013756E-057  -4.8279812638354400     
          34  -3.8003846355155610E-004  -6.2993010589131559     
          35   2.2612573457890868E-002  -6.6384466981778187     
          36   1.0265251114576902E-059  -6.7202911468100819     
