 -----------------------------------------------------------------
 PMTF-REV.dat 2021.04.14 11.33.08
 Model: MODELS/PREM_LT90_NV4_VM2a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4414279815390261      A_e (elastic)
   0.0000000000000000      A_s (secular)
           1   1.3148541804409894E-005  -5.4537969415598193E-005 i, A_i, a_i (i=1,...,M)
           2   1.2311289246594375E-003  -6.8046489146789818E-004
           3   4.9999232806086598E-002  -3.0062613917029254E-003
           4  0.39920965740940312       -1.5391363164905190E-002
           5  0.17210003305797331      -0.13339598507551070     
           6  0.44199095631870444      -0.50947164716460536     
           7  -1.9616880247620463E-123  -2.4092793163636359     
           8   5.0563224491589169E-003  -2.8324307411224772     
           9   9.8839977500975069E-003  -3.0218434179038240     
          10   1.1613407342668594E-122  -3.1439674231578945     
          11   1.9291643021311922E-002  -5.5884688661807429     
          12   1.0530379364207872E-002  -5.7497595867944282     
          13   4.5787250284842370E-123  -5.8095174780000001     
          14   8.0903914212738098E-003  -8.2204978339043979     
          15   4.3485767712372801E-002  -8.5965949018833445     
          16  -4.2351578602499135E-124  -8.7477667199999996     
 
 PMTF^:
   1.0989113543434386      A_e^ (elastic, primed)
   0.0000000000000000      A_s^ (secular, primed)
           1  -5.4272291936136955E-006  -5.4537969415598193E-005 i, A_i^, a_i (i=1,...,M)
           2  -3.9108031404713273E-004  -6.8046489146789818E-004
           3  -3.5837364019104352E-003  -3.0062613917029254E-003
           4   2.0998949770142585E-002  -1.5391363164905190E-002
           5  -2.4398169180088418E-004 -0.13339598507551070     
           6  0.19591194326278902      -0.50947164716460536     
           7  -1.9867887545357549E-123  -2.4092793163636359     
           8   2.7868066303991957E-003  -2.8324307411224772     
           9   1.8636202483391347E-003  -3.0218434179038240     
          10   1.1569495631256813E-122  -3.1439674231578945     
          11   9.1561042092605811E-003  -5.5884688661807429     
          12   1.2832315968292064E-003  -5.7497595867944282     
          13  -4.4562911464658024E-122  -5.8095174780000001     
          14   6.9727466746911928E-003  -8.2204978339043979     
          15   8.2337661894382984E-003  -8.5965949018833445     
          16  -1.6323913002621473E-123  -8.7477667199999996     
 
 A^^ terms: 
           1   2.4264616999999999E-133  -5.4808769843227003E-005 i, A_i^^, s_i (i=1,...,M)
           2   1.6520557159999997E-131  -7.0391484605500040E-004
           3   3.8041321354999993E-130  -4.2801571952871733E-003
           4   1.6409085344949997E-128  -8.6826110642957366E-002
