 PMTF-REV.dat 2019.06.26 12.20.24
 
 PMTF (un-primed): 
   1.4366450066699177      A_e (elastic)
   0.0000000000000000      A_s (secular)
          13   6.6901787460657048E-004  -2.1077300859843842     
          14   1.1912819665835523E-003  -2.1434271912403013     
          15   1.4656967603052613E-038  -2.4139906319177200     
          16   9.3232618045824159E-004  -2.4323909876001251     
          17   1.8457772672487206E-003  -2.5206011639459383     
          18  -6.3482528656942166E-037  -3.0177470172346061     
          19   8.8479889895801426E-004  -3.0710377401675570     
          20   1.0748773803645980E-003  -3.1285398162038858     
          21   2.1486967481273955E-032  -3.3518220303376167     
          22   3.5495969035158153E-006  -3.3580144931691520     
          23   8.5616212426205244E-032  -3.3601455734050405     
          24   6.1335538892598874E-005  -3.3946333632819505     
          25   6.6005649181572433E-004  -3.4385894997388613     
          26   1.3102262634206729E-003  -3.5461391319541562     
          27   1.1197005704232650E-036  -3.6691229417455355     
          28   9.9287552971900309E-004  -3.7768113440992486     
          29   1.5423764230476850E-003  -3.8900250887689474     
          30  -3.2782230868226900E-039  -4.0300078029260993     
          31   9.5508491998488529E-004  -4.1809705695948427     
          32   1.1477308130201788E-003  -4.2859087896144539     
          33   2.6952219888217870E-042  -4.4086358879067777     
          34   6.5029616497834888E-004  -5.0490330999159783     
          35   1.9340159012303691E-003  -5.2988341391396681     
          36   1.4406178445107008E-047  -5.3734380782038942     
 
 Doubly primed A^^ terms: 
           1   1.7086777481588734E-051  -5.5351146329545382E-007 i, A_i^^, s_i (i=1,...,M)
           2   2.7704519744316049E-051  -8.3687424343636944E-006
           3   5.5665979142838471E-050  -1.6116076908127198E-005
           4   1.4773555217478937E-049  -2.6849585242768598E-005
           5   2.0848012481767108E-049  -6.2037298326730008E-005
           6   2.1538222769149480E-048  -2.0261560013307253E-004
           7   2.6409437706740830E-047  -7.2282442740708417E-004
           8   3.6256119092791183E-046  -4.2415568845499642E-003
           9   4.4815084958242210E-045  -8.3035989249222494E-002
          10   2.1874475760775556E-043 -0.28202991300920732     
          11   1.8011276252127006E-042  -1.4459459131161470     
          12   5.0007962442850776E-056  -2.0976352516676497     
          13   4.5569609870220173E-044  -2.1129081730756991     
          14   1.9619993247380154E-044  -2.1471030646859459     
          15  -1.6067849574387850E-052  -2.4139906319177200     
          16  -6.1016863366543318E-043  -2.4387214409039406     
          17   2.4638111272439922E-043  -2.5243825560383653     
          18   7.3044167587932574E-047  -3.0177470172346061     
          19   5.6389216822251297E-039  -3.0760515590487381     
          20  -7.3144834983798545E-039  -3.1310340126938718     
          21  -1.6144130486171635E-040  -3.3518220303376167     
          22  -7.5481685610113921E-034  -3.3580306698065336     
          23  -7.0825912549905867E-040  -3.3601455734050405     
          24  -1.5509569289387774E-035  -3.3949705371404830     
          25   2.3122787867427501E-036  -3.4428065405339008     
          26  -1.0031945096245349E-037  -3.5489195555863224     
          27  -2.5218186287456501E-043  -3.6691229417455355     
          28  -7.7418311730731906E-039  -3.7816764144396622     
          29   1.0441188415315637E-039  -3.8932467808741498     
          30   1.3138896683982884E-044  -4.0300078029260993     
          31   8.1695053419600645E-042  -4.1849794630099399     
          32   1.4269209067577351E-042  -4.2881407686678763     
          33   2.2204871501306434E-046  -4.4086358879067777     
          34  -2.0036204261453545E-046  -5.0493000942840958     
          35  -2.0668225377111576E-044  -5.3066646436549592     
          36  -6.0013401825086617E-050  -5.3734380782038942     
 
 B^ terms for G: 
   1.4167569860255185      G_e^ (elastic, primed)
   0.0000000000000000      G_s^ (secular, primed)
           1  -5.5634160867637571E-008  -5.5260973879170547E-007 i, G_i^, a_i (i=1,...,M)
           2  -9.0262344587973156E-008  -8.3667596605195944E-006
           3  -1.8073755252152324E-006  -1.6071008669053610E-005
