 PMTF.dat 2019.06.26 12.19.14
 
 PMTF (un-primed):
   1.4535853862145491      A_e (elastic)
   1.0281567180465710E-002 A_s (secular)
           1   3.5506982899122692E-002  -2.6764161473533260E-006 i, A_i, a_i (i=1,...,M-1)
           2   1.6639261269794721E-003  -8.6754085221742112E-006
           3   5.1991217367428474E-003  -1.9262007489801239E-005
           4   2.6547448427416312E-002  -4.3024423356627600E-005
           5   3.7613577958491316E-002  -8.0936045414786500E-005
           6   4.0221530597725513E-002  -2.6978484803414466E-004
           7   9.2093453632168767E-002  -1.1565557791271255E-003
           8  0.48052136185737715       -1.1762862031418807E-002
           9  0.12851141350851972      -0.10125274924825856     
          10  0.70169007631410252      -0.65075788071997265     
          11  -1.7383748428199035E-039  -2.0976352516676497     
          12   3.5549261985807611E-003  -2.1076368503604010     
          13   2.0095925214885244E-003  -2.1433742991891296     
          14   1.5061556905145570E-038  -2.4139906319177200     
          15   4.8581009460316070E-003  -2.4322638580768441     
          16   2.7092369638084314E-003  -2.5205301786908283     
          17  -6.4965685571018424E-037  -3.0177470172346061     
          18   4.8602977219932095E-003  -3.0709111934535183     
          19   2.1444477714308821E-003  -3.1284838303010516     
          20   2.2064483233490516E-032  -3.3518220303376167     
          21   1.6694901033762040E-005  -3.3580140592174414     
          22   8.7931492986987556E-032  -3.3601455734050405     
          23   3.6561153672280217E-004  -3.3946238719317123     
          24   4.2125805574225617E-003  -3.4384799036390734     
          25   2.7025578887406570E-003  -3.5460687762607792     
          26   1.1513469766653900E-036  -3.6691229417455355     
          27   5.0360958116979684E-003  -3.7766804416752224     
          28   3.1875492115846357E-003  -3.8899421428728940     
          29  -3.3877872592315354E-039  -4.0300078029260993     
          30   4.2546674205072403E-003  -4.1808600526973780     
          31   2.2674137805524207E-003  -4.2858498272175725     
          32   2.8065637992939507E-042  -4.4086358879067777     
          33   3.1132295219601041E-004  -5.0490250342439094     
          34   9.0006231481430422E-003  -5.2986008552352271     
          35   1.4643763174266925E-047  -5.3734380782038942     
 
 PMTF^: 
   1.1119677631061211      A_e^ (elastic, primed)
   2.6464213937287234E-004 A_s^ (secular, primed)
           1   9.4492346799236304E-004  -2.6764161473533260E-006 i, A_i^, a_i (i=1,...,M-1)
           2   4.6065228073462914E-005  -8.6754085221742112E-006
           3   1.4980741729428993E-004  -1.9262007489801239E-005
           4   8.0100423786657660E-004  -4.3024423356627600E-005
           5   1.2513206358655625E-003  -8.0936045414786500E-005
           6   1.6078995849112898E-003  -2.6978484803414466E-004
           7   6.0945397062620726E-003  -1.1565557791271255E-003
           8   4.5459702961815555E-002  -1.1762862031418807E-002
           9   2.9019071810241484E-003 -0.10125274924825856     
          10  0.29354186803465115      -0.65075788071997265     
          11  -1.7359225778476500E-039  -2.0976352516676497     
          12   7.4998692360926536E-004  -2.1076368503604010     
          13   1.2233337615690258E-003  -2.1433742991891296     
          14   1.5047438689123751E-038  -2.4139906319177200     
          15   1.0465990736254652E-003  -2.4322638580768441     
          16   1.8970016627532500E-003  -2.5205301786908283     
          17  -6.5168323894915930E-037  -3.0177470172346061     
          18   1.0094300136488034E-003  -3.0709111934535183     
          19   1.1242632093923374E-003  -3.1284838303010516     
          20   2.2060483437306774E-032  -3.3518220303376167     
          21   3.9844497708927154E-006  -3.3580140592174414     
          22   8.7902068674302052E-032  -3.3601455734050405     
          23   7.1028745868127757E-005  -3.3946238719317123     
          24   7.6924044085261453E-004  -3.4384799036390734     
          25   1.3781615710562231E-003  -3.5460687762607792     
          26   1.1496676691578797E-036  -3.6691229417455355     
          27   1.1250273044080233E-003  -3.7766804416752224     
          28   1.6232498044991867E-003  -3.8899421428728940     
          29  -3.3669067335395201E-039  -4.0300078029260993     
          30   1.0677468514565635E-003  -4.1808600526973780     
          31   1.2061519130308759E-003  -4.2858498272175725     
          32   2.7706647434273495E-042  -4.4086358879067777     
          33   6.6085314984741484E-004  -5.0490250342439094     
          34   2.1794053365704670E-003  -5.2986008552352271     
          35   1.4630074438080049E-047  -5.3734380782038942     
 
 Doubly primed A^^ terms: 
           1  -2.1553040799056790E-051  -5.5351146329545382E-007 i, A_i^^, s_i (i=1,...,M)
           2  -3.4946125978704922E-051  -8.3687424343636944E-006
           3  -7.0216356314821234E-050  -1.6116076908127198E-005
           4  -1.8635175639791627E-049  -2.6849585242768598E-005
           5  -2.6297425937125535E-049  -6.2037298326730008E-005
           6  -2.7168076573962529E-048  -2.0261560013307253E-004
           7  -3.3312699921437342E-047  -7.2282442740708417E-004
           8  -4.5734419074259245E-046  -4.2415568845499642E-003
           9  -5.6564290009679788E-045  -8.3035989249222494E-002
          10  -2.7654065661687448E-043 -0.28202991300920732     
          11  -2.3132285709226529E-042  -1.4459459131161470     
          12   4.8707653135845463E-056  -2.0976352516676497     
          13  -4.0813673937575176E-044  -2.1129081730756991     
          14  -3.5341162826607002E-044  -2.1471030646859459     
          15  -1.5650051757344922E-052  -2.4139906319177200     
          16  -7.2412444305124967E-043  -2.4387214409039406     
          17   1.8921976978256249E-043  -2.5243825560383653     
          18   7.1147521238092825E-047  -3.0177470172346061     
          19   5.4925226430825070E-039  -3.0760515590487381     
          20  -7.1253218767598522E-039  -3.1310340126938718     
          21  -1.5725145236537532E-040  -3.3518220303376167     
          22  -7.3540207693499076E-034  -3.3580306698065336     
          23  -6.8987737398929363E-040  -3.3601455734050405     
          24  -1.5111235977099768E-035  -3.3949705371404830     
          25   2.2530051916896874E-036  -3.4428065405339008     
          26  -9.7764850952159587E-038  -3.5489195555863224     
