 -----------------------------------------------------------------
 PMTF.dat 2021.03.19 13.26.44
 Model: MODELS/PREM_LT60_NV5_VM5a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4564894598821918      A_e (elastic)
           4   4.9391222070424005E-002  -7.1928324456635518E-003
           5  -1.0808450491016672E-002  -5.3987125401973854E-002
           6   3.5317282099558626E-003 -0.21160948444365921     
           7  -3.9195595203411492E-114 -0.21284338895999999     
           8   5.5893394491781517E-002 -0.26462649951387263     
           9  0.34510164081110040      -0.51723916654097657     
          10   7.1525502468167856E-122  -2.3884120421052630     
          11   1.2025343811335239E-002  -3.2337946595135452     
          12   8.8093989391050988E-003  -3.5266616708949599     
          13  -8.3211263127019550E-121  -3.6825910165605094     
          14   8.4468781191156077E-003  -4.5766727787315382     
          15  -2.7347507366930005E-005  -4.6385030400947755     
          16   2.3883602284772863E-120  -4.6625722847999995     
          17   1.0565525731029002E-002  -6.6391640182562641     
          18   1.0760732836149152E-002  -6.8896624824239190     
          19   4.9374227414488832E-121  -6.9982133759999989     
 
 G^^ terms:
           1   6.0748770074876178E-012  -7.0796799643959446E-009 i, G_i^^, s_i (i=1,...,M)
           2   9.3274834471549621E-008  -4.2016890871014442E-005
           3   4.2059464301311206E-006  -4.3161985459878318E-004
           4   1.3911765299000947E-004  -3.3851453236339096E-003
           5  -6.8010221008853628E-005  -4.8647741014271835E-002
           6   3.7522390892710596E-002 -0.15321168958783563     
           7   2.4197611182652816E-005 -0.21249703290512004     
           8   1.2062237169285525E-141 -0.21284338895999999     
           9   3.7006445845498406E-002 -0.34238093506479317     
          10  0.30000178836493491       -1.0338761466230988     
          11  -1.7585272847225562E-129  -2.3884120421052630     
          12   2.2936077251621279E-003  -3.2424908394305967     
          13   1.3355044549746682E-002  -3.5466895936714442     
          14   1.8214260587674155E-124  -3.6825910165605094     
          15   4.5548889472016661E-003  -4.5864888725691966     
          16   1.3177920285888990E-003  -4.6399338217624546     
          17  -2.7062436470817452E-121  -4.6625722847999995     
          18   2.0281598002456363E-004  -6.6444429963182952     
          19   1.3503208741233974E-002  -6.9121304866377491     
          20  -5.6754964713224983E-121  -6.9982133759999989     
 
 U^ terms:
  0.59216745510018409      U_e^ (elastic, primed)
   1.1631879859209710E-005 U_s^ (secular, primed)
           1   3.1790653584045105E-003  -1.8762202641815905E-006 i, U_i^, a_i (i=1,...,M-1)
           2   2.2301483543715702E-003  -6.5235695231551604E-005
           3   5.3490667210700314E-003  -5.8342025315656003E-004
           4   4.7025769617451224E-002  -7.1928324456635518E-003
           5  -1.1484325162290965E-002  -5.3987125401973854E-002
           6   2.2264239069516947E-003 -0.21160948444365921     
           7  -2.3967285226179770E-119 -0.21284338895999999     
           8   5.0406501130108770E-002 -0.26462649951387263     
           9  0.26174925503686969      -0.51723916654097657     
          10  -1.3974158920550510E-123  -2.3884120421052630     
          11   8.3217285648099961E-003  -3.2337946595135452     
          12   7.8889704926015086E-003  -3.5266616708949599     
          13   3.0495875030604548E-123  -3.6825910165605094     
          14   6.8665423275500286E-003  -4.5766727787315382     
          15  -2.7485094530064927E-005  -4.6385030400947755     
          16   5.5521428698461962E-125  -4.6625722847999995     
          17   6.5125056955720774E-003  -6.6391640182562641     
          18   9.6679126207259766E-003  -6.8896624824239190     
          19   2.9434902960487050E-124  -6.9982133759999989     
 
 U^^ terms:
           1   3.7986912758122903E-010  -7.0796799643959446E-009 i, U_i^^, s_i (i=1,...,M)
           2   1.9696224774178899E-006  -4.2016890871014442E-005
           3   7.9278738361986172E-005  -4.3161985459878318E-004
           4   1.0703285136213236E-003  -3.3851453236339096E-003
           5  -5.8228315675622522E-005  -4.8647741014271835E-002
           6  0.10671917892661222      -0.15321168958783563     
           7   2.6370709130476097E-005 -0.21249703290512004     
           8   7.8565902003411823E-147 -0.21284338895999999     
           9  0.10276672663487725      -0.34238093506479317     
          10  0.52535030173631292       -1.0338761466230988     
          11   3.4356745235643220E-131  -2.3884120421052630     
          12   3.1085259938516217E-003  -3.2424908394305967     
          13   2.4614430520742570E-002  -3.5466895936714442     
          14  -6.6752962761484935E-127  -3.6825910165605094     
          15   7.4774417543592223E-003  -4.5864888725691966     
          16   2.7031676942162650E-003  -4.6399338217624546     
          17  -6.2911138936205386E-126  -4.6625722847999995     
          18   2.1500038617801312E-004  -6.6444429963182952     
          19   2.4977966073685697E-002  -6.9121304866377491     
          20  -3.3834996628245274E-124  -6.9982133759999989     
 
 V^ terms:
  0.12046495819277740      V_e^ (elastic, primed)
   3.1456508165569565E-006 V_s^ (secular, primed)
           1   8.5985627498392223E-004  -1.8762202641815905E-006 i, V_i^, a_i (i=1,...,M-1)
           2   6.0504470509348013E-004  -6.5235695231551604E-005
           3   1.5225807987388354E-003  -5.8342025315656003E-004
           4   1.6206606301856715E-002  -7.1928324456635518E-003
           5  -1.8569053936010008E-002  -5.3987125401973854E-002
           6   5.2624605076444719E-004 -0.21160948444365921     
           7  -6.3917361148713278E-118 -0.21284338895999999     
           8   3.2870262197000677E-002 -0.26462649951387263     
           9  -6.9664488499492874E-002 -0.51723916654097657     
          10  -2.3582534451789869E-123  -2.3884120421052630     
          11  -2.8800103112148054E-003  -3.2337946595135452     
          12   1.6627121861773752E-003  -3.5266616708949599     
          13   6.5507545837204788E-123  -3.6825910165605094     
          14   4.8546857280392665E-004  -4.5766727787315382     
