0,14253,1761,13.08848
100,14248,1759,13.08630
200,14231,1755,13.07977
300,14203,1749,13.06888
400,14164,1739,13.05364
500,14114,1727,13.03404
600,14053,1713,13.01009
700,13981,1696,12.98178
800,13898,1676,12.94912
900,13805,1654,12.91211
1000,13701,1630,12.87073
1100,13586,1603,12.82501
1200,13462,1574,12.77493
1221.5,13434,1567,12.76360
1221.5,13047,0,12.16634
1300,12888,0,12.12500
1400,12679,0,12.06924
1500,12464,0,12.00989
1600,12242,0,11.94682
1700,12013,0,11.87990
1800,11775,0,11.80900
1900,11529,0,11.73401
2000,11273,0,11.65478
2100,11009,0,11.57119
2200,10735,0,11.48311
2300,10451,0,11.39042
2400,10158,0,11.29298
2500,9855,0,11.19067
2600,9542,0,11.08335
2700,9220,0,10.97091
2800,8889,0,10.85321
2900,8550,0,10.73012
3000,8202,0,10.60152
3100,7846,0,10.46727
3200,7484,0,10.32726
3300,7116,0,10.18134
3400,6743,0,10.02940
3480,6441,0,9.90349
3480,6556,2938,5.56645
3500,6537,2933,5.55641
3600,6440,2907,5.50642
3630,6412,2899,5.49145
3630,6412,2899,5.49145
3700,6279,2855,5.45657
3800,6095,2794,5.40681
3900,5917,2734,5.35706
4000,5744,2675,5.30724
4100,5575,2617,5.25729
4200,5409,2559,5.20713
4300,5246,2502,5.15669
4400,5085,2445,5.10590
4500,4925,2388,5.05469
4600,4766,2331,5.00299
4700,4607,2273,4.95073
4800,4448,2215,4.89783
4900,4288,2157,4.84422
5000,4128,2098,4.78983
5100,3966,2039,4.73460
5200,3803,1979,4.67844
5300,3638,1918,4.62129
5400,3471,1856,4.56307
5500,3303,1794,4.50372
5600,3133,1730,4.44317
5600,3133,1730,4.44316
5650,3067,1639,4.41241
5701,2999,1548,4.38071
5701,2556,1239,3.99214
5736,2523,1224,3.98399
5771,2489,1210,3.97584
5771,2489,1210,3.97584
5821,2332,1128,3.91282
5871,2181,1051,3.84980
5921,2037,977,3.78678
5971,1899,906,3.72378
5971,1735,806,3.54325
6016,1682,790,3.51639
6061,1630,773,3.48951
6106,1579,757,3.46264
6151,1529,741,3.43578
6151,1270,656,3.35950
6186,1278,660,3.36330
6221,1287,665,3.36710
6256,1295,669,3.37091
6291,1303,674,3.37471
6291,1303,674,3.37471
6311,1307,677,3.37688
6331,1311,680,3.37906
6346.6,1315,682,3.38076
6346.6,753,441,2.90000
6356,753,441,2.90000
6356,520,266,2.60000
6368,520,266,2.60000
6368,21,0,1.02000
6371,21,0,1.02000
