 -----------------------------------------------------------------
 PMTF-REV.dat 2021.03.19 13.26.45
 Model: MODELS/PREM_LT60_NV5_VM5a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4459380042567671      A_e (elastic)
           2  -1.1594701574115178E-005  -4.1693244382607509E-005
           3  -5.3239959474379373E-004  -4.1423751261788735E-004
           4  -6.0478146171296177E-003  -2.2109304843859331E-003
           5   4.3088177308880760E-002  -1.3045377426510482E-002
           6  -1.4388738366744201E-002  -5.4829577285486548E-002
           7   3.3010718395264944E-003 -0.21164887278222660     
           8  -3.8783068409643579E-114 -0.21284338895999999     
           9   4.8427544366957023E-002 -0.26704961836101071     
          10  0.34279843753040939      -0.52341658172980066     
          11   7.0397866442692654E-122  -2.3884120421052630     
          12   1.1746971037346112E-002  -3.2339597247607945     
          13   8.1528610600353161E-003  -3.5270185417797086     
          14  -8.1007028370705506E-121  -3.6825910165605094     
          15   8.0946458812773108E-003  -4.5768635622740517     
          16  -7.1692555179122026E-005  -4.6385260874584811     
          17   1.7974258314268298E-120  -4.6625722847999995     
          18   1.0338838405968520E-002  -6.6392800963552920     
          19   9.8911743574401027E-003  -6.8901099935218575     
          20   1.3690135245340889E-123  -6.9982133759999998     
 
 G^^ terms:
           1   6.1735658452502974E-012  -7.0796799643959446E-009 i, G_i^^, s_i (i=1,...,M)
           2   9.4790121940770423E-008  -4.2016890871014442E-005
           3   4.2742737336090542E-006  -4.3161985459878318E-004
           4   1.4137767561580642E-004  -3.3851453236339096E-003
           5  -6.9115074598329417E-005  -4.8647741014271835E-002
           6   3.8131957332115760E-002 -0.15321168958783563     
           7   2.4590711178143397E-005 -0.21249703290512004     
           8   1.1709195255148576E-141 -0.21284338895999999     
           9   3.7607630548615573E-002 -0.34238093506479317     
          10  0.30487543893991259       -1.0338761466230988     
          11  -2.4761322716390952E-129  -2.3884120421052630     
          12   2.3308683117387388E-003  -3.2424908394305967     
          13   1.3572002658241522E-002  -3.5466895936714442     
          14   3.8267908296809308E-124  -3.6825910165605094     
          15   4.6288849632170267E-003  -4.5864888725691966     
          16   1.3392000938968985E-003  -4.6399338217624546     
