           0   5758.0977965460579        2341.1649850846566     
           1   9172.9570417360046        6637.8093645330000     
           2   10939.002843067094        8771.1258597257547     
           3   12061.188981160387        10125.992470891055     
           4   12880.581454391975        11121.246787402204     
           5   13540.910667925429        11918.866459749122     
           6   14111.082147117242        12595.062886561982     
           7   14626.908628886651        13191.159823484217     
           8   15108.016399494876        13731.729427082862     
           9   15565.611386715012        14232.306408599818     
          10   16006.339442912620        14703.158998685190     
          11   16434.297119976531        15151.314249565248     
          12   16852.111532148421        15581.716983874050     
          13   17261.534853607562        15997.925469722746     
          14   17663.779854756856        16402.546350295408     
          15   18059.714593213885        16797.516683345708     
          16   18449.978954949544        17184.292910818964     
          17   18835.056817865250        17563.981093161627     
          18   19215.322319856030        17937.428784688032     
          19   19591.070539103639        18305.291064278030     
